fbref_id,tm_id,PlayerFBref,TmPos,UrlTmarkt
dd549382,339314,Deniz Undav,Centre-Forward,https://www.transfermarkt.com/deniz-undav/profil/spieler/339314
c311243f,19354,Dennis Aogo,Defensive Midfield,https://www.transfermarkt.com/dennis-aogo/profil/spieler/19354
feb5d3ab,111038,Dennis Appiah,Right-Back,https://www.transfermarkt.com/dennis-appiah/profil/spieler/111038
78b9e99c,467426,Dennis Borkowski,Centre-Forward,https://www.transfermarkt.com/dennis-borkowski/profil/spieler/467426
6873f3bc,42044,Dennis Diekmeier,Right-Back,https://www.transfermarkt.com/dennis-diekmeier/profil/spieler/42044
7f8fb807,249303,Dennis Eckert,Centre-Forward,https://www.transfermarkt.com/dennis-eckert-ayensa/profil/spieler/249303
37f606f0,251309,Dennis Geiger,Central Midfield,https://www.transfermarkt.com/dennis-geiger/profil/spieler/251309
6bba916f,358870,Dennis Jastrzembski,Left Winger,https://www.transfermarkt.com/dennis-jastrzembski/profil/spieler/358870
66784dee,406042,Dennis Johnsen,Left Winger,https://www.transfermarkt.com/dennis-johnsen/profil/spieler/406042
2079b3cc,397486,Dennis Man,Right Winger,https://www.transfermarkt.com/dennis-man/profil/spieler/397486
86695068,129588,Dennis Praet,Central Midfield,https://www.transfermarkt.com/dennis-praet/profil/spieler/129588
1fdec858,159239,Dennis Srbeny,Centre-Forward,https://www.transfermarkt.com/dennis-srbeny/profil/spieler/159239
7ae36711,577394,Denso Kasius,Right-Back,https://www.transfermarkt.com/denso-kasius/profil/spieler/577394
481c9ece,321528,Denzel Dumfries,Right Midfield,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528
1b6862e8,237669,Dereck Kutesa,Left Winger,https://www.transfermarkt.com/dereck-kutesa/profil/spieler/237669
810edef9,917104,Derek Mazou-Sacko,midfield,https://www.transfermarkt.com/derek-mazou-sacko/profil/spieler/917104
30a09cb5,241457,Derrick Luckassen,Centre-Back,https://www.transfermarkt.com/derrick-luckassen/profil/spieler/241457
93cba339,820957,Derry Scherhant,Centre-Forward,https://www.transfermarkt.com/derry-scherhant/profil/spieler/820957
7cd520e8,556385,Destiny Udogie,Left-Back,https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385
58a2e9f6,338032,Deyovaisio Zeefuik,Right-Back,https://www.transfermarkt.com/deyovaisio-zeefuik/profil/spieler/338032
2e5e846d,243541,Deyverson,Centre-Forward,https://www.transfermarkt.com/deyverson/profil/spieler/243541
08593525,315604,Diadie SamassÃ©kou,Defensive Midfield,https://www.transfermarkt.com/diadie-samassekou/profil/spieler/315604
57c433c8,120610,Diafra Sakho,Centre-Forward,https://www.transfermarkt.com/diafra-sakho/profil/spieler/120610
cadd666a,596813,Dickson Abiama,Centre-Forward,https://www.transfermarkt.com/dickson-abiama/profil/spieler/596813
885b7aa7,210081,Didier Ibrahim Ndong,Central Midfield,https://www.transfermarkt.com/didier-ndong/profil/spieler/210081
b229aa13,442320,Didier Lamkel ZÃ©,Left Winger,https://www.transfermarkt.com/didier-lamkel-ze/profil/spieler/442320
b4a014b1,329145,Diego Carlos,Centre-Back,https://www.transfermarkt.com/diego-carlos/profil/spieler/329145
15a21c79,39717,Diego Contento,Left-Back,https://www.transfermarkt.com/diego-contento/profil/spieler/39717
22ae86f9,660860,Diego Coppola,Centre-Back,https://www.transfermarkt.com/diego-coppola/profil/spieler/660860
a190d597,44779,Diego Costa,Centre-Forward,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
dc3fa3b5,82070,Diego Demme,Defensive Midfield,https://www.transfermarkt.com/diego-demme/profil/spieler/82070
a39b9ef6,119115,Diego Falcinelli,Centre-Forward,https://www.transfermarkt.com/diego-falcinelli/profil/spieler/119115
157d29b6,83877,Diego Farias,Left Winger,https://www.transfermarkt.com/diego-farias/profil/spieler/83877
fc4f85b1,54928,Diego GodÃ­n,Centre-Back,https://www.transfermarkt.com/diego-godin/profil/spieler/54928
4ac7608e,349836,Diego GonzÃ¡lez,Centre-Back,https://www.transfermarkt.com/diego-gonzalez/profil/spieler/349836
bf12926c,371174,Diego Lainez,Left Winger,https://www.transfermarkt.com/diego-lainez/profil/spieler/371174
f26e3c59,230552,Diego Laxalt,Left-Back,https://www.transfermarkt.com/diego-laxalt/profil/spieler/230552
bba30585,246291,Diego Llorente,Centre-Back,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291
c487901c,617081,Diego Lopez,Left Winger,https://www.transfermarkt.com/diego-lopez/profil/spieler/617081
a40d5a0c,54984,Diego Perotti,Left Winger,https://www.transfermarkt.com/diego-perotti/profil/spieler/54984
d4f46475,131090,Diego Reyes,Centre-Back,https://www.transfermarkt.com/diego-reyes/profil/spieler/131090
d9ba39fc,249513,Diego Rico,Left-Back,https://www.transfermarkt.com/diego-rico/profil/spieler/249513
d1491e00,193938,Diego RolÃ¡n,Centre-Forward,https://www.transfermarkt.com/diego-rolan/profil/spieler/193938
71005acd,491648,Diego Valencia,Centre-Forward,https://www.transfermarkt.com/diego-valencia/profil/spieler/491648
2b5a35e5,540664,Dilane Bakwa,Centre-Forward,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664
16569fef,163216,Dimitri Bisoli,Central Midfield,https://www.transfermarkt.com/dimitri-bisoli/profil/spieler/163216
45e17712,170472,Dimitri Foulquier,Right-Back,https://www.transfermarkt.com/dimitri-foulquier/profil/spieler/170472
f7691f63,314940,Dimitri LiÃ©nard,Central Midfield,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
af45e954,212718,Dimitri Oberlin,Centre-Forward,https://www.transfermarkt.com/dimitri-oberlin/profil/spieler/212718
58ae47b2,37647,Dimitri Payet,Attacking Midfield,https://www.transfermarkt.com/dimitri-payet/profil/spieler/37647
6f30a1d5,861192,Dimitrios Keramitsis,Centre-Back,https://www.transfermarkt.com/dimitrios-keramitsis/profil/spieler/861192
112c495e,295630,Dimitris Giannoulis,Left-Back,https://www.transfermarkt.com/dimitrios-giannoulis/profil/spieler/295630
62c7067a,324344,Dimitris Limnios,Left Winger,https://www.transfermarkt.com/dimitrios-limnios/profil/spieler/324344
cf961d8d,292772,Dimitris Nikolaou,Centre-Back,https://www.transfermarkt.com/dimitrios-nikolaou/profil/spieler/292772
92d38e6c,52403,Dimitris Siovas,Centre-Back,https://www.transfermarkt.com/dimitrios-siovas/profil/spieler/52403
d9565625,357147,Diogo Dalot,Right-Back,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147
178ae8f8,340950,Diogo Jota,Left Winger,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950
c4987edc,357156,Diogo Leite,Centre-Back,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156
64c14d49,649033,Dion Lopy,Defensive Midfield,https://www.transfermarkt.com/dion-lopy/profil/spieler/649033
cdc4458b,880330,Dion Moise Sahi,Second Striker,https://www.transfermarkt.com/moise-sahi-dion/profil/spieler/880330
f239e6dd,537488,Dion Ruffo Luci,Central Midfield,https://www.transfermarkt.com/dion-ruffo-luci/profil/spieler/537488
43a166b4,148368,Divock Origi,Centre-Forward,https://www.transfermarkt.com/divock-origi/profil/spieler/148368
2ab14aaa,209990,Djamel Benlamri,Centre-Back,https://www.transfermarkt.com/djamel-eddine-benlamri/profil/spieler/209990
ca241ad3,215089,Djavan Anderson,Right-Back,https://www.transfermarkt.com/djavan-anderson/profil/spieler/215089
9bc9a519,483348,Djed Spence,Right-Back,https://www.transfermarkt.com/djed-spence/profil/spieler/483348
a4971d84,221150,DjenÃ©,Centre-Back,https://www.transfermarkt.com/djene/profil/spieler/221150
4c5b714f,161869,Djibril SidibÃ©,Right-Back,https://www.transfermarkt.com/djibril-sidibe/profil/spieler/161869
4c6facae,212723,Djibril Sow,Central Midfield,https://www.transfermarkt.com/djibril-sow/profil/spieler/212723
b1adaefa,601816,DjÃ©gui Koita,Centre-Back,https://www.transfermarkt.com/djegui-koita/profil/spieler/601816
0c61c77c,303259,Dodi Lukebakio,Right Winger,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
b5f7d10b,401529,DodÃ´,Right-Back,https://www.transfermarkt.com/dodo/profil/spieler/401529
8bbe2df5,357796,Domagoj BradariÄ,Left-Back,https://www.transfermarkt.com/domagoj-bradaric/profil/spieler/357796
22cd43d2,216599,Domen Crnigoj,Right Midfield,https://www.transfermarkt.com/domen-crnigoj/profil/spieler/216599
53a0e358,177843,Domenico Berardi,Right Winger,https://www.transfermarkt.com/domenico-berardi/profil/spieler/177843
35dd6d80,44136,Domenico Criscito,Left-Back,https://www.transfermarkt.com/domenico-criscito/profil/spieler/44136
3d936ba9,22140,Domenico Maietta,Centre-Back,https://www.transfermarkt.com/domenico-maietta/profil/spieler/22140
e6697917,375382,Domingos AndrÃ© Ribeiro Almeida,Central Midfield,https://www.transfermarkt.com/andre-almeida/profil/spieler/375382
93090f69,257376,Domingos Duarte,Centre-Back,https://www.transfermarkt.com/domingos-duarte/profil/spieler/257376
41fb0f4e,391719,Domingos Quina,Central Midfield,https://www.transfermarkt.com/domingos-quina/profil/spieler/391719
59e6e5bf,306024,Dominic Calvert-Lewin,Centre-Forward,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024
3f30b506,41023,Dominic Maroh,Centre-Back,https://www.transfermarkt.com/dominic-maroh/profil/spieler/41023
e77dc3b2,258889,Dominic Solanke,Centre-Forward,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
235a62f8,503688,Dominic Thompson,Left-Back,https://www.transfermarkt.com/dominic-thompson/profil/spieler/503688
809940aa,53400,Dominick Drexler,Attacking Midfield,https://www.transfermarkt.com/dominick-drexler/profil/spieler/53400
733fecf1,52200,Dominik Kaiser,Central Midfield,https://www.transfermarkt.com/dominik-kaiser/profil/spieler/52200
0fbecd11,118847,Dominik Kohr,Central Midfield,https://www.transfermarkt.com/dominik-kohr/profil/spieler/118847
934e1968,451276,Dominik Szoboszlai,Left Winger,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276
699fb8db,110036,Dominique Heintz,Centre-Back,https://www.transfermarkt.com/dominique-heintz/profil/spieler/110036
50dc94ce,288255,Donny van de Beek,Central Midfield,https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255
864163f3,326029,Donyell Malen,Centre-Forward,https://www.transfermarkt.com/donyell-malen/profil/spieler/326029
e2a302a8,204987,Dor Peretz,Defensive Midfield,https://www.transfermarkt.com/dor-peretz/profil/spieler/204987
4fa7cb9b,75615,Douglas Costa,Left Winger,https://www.transfermarkt.com/douglas-costa/profil/spieler/75615
6f7d826d,447661,Douglas Luiz,Defensive Midfield,https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661
c50e5bba,220793,Douglas Santos,Left-Back,https://www.transfermarkt.com/douglas-santos/profil/spieler/220793
89b2c8a9,56416,Dries Mertens,Centre-Forward,https://www.transfermarkt.com/dries-mertens/profil/spieler/56416
abccacf7,540727,Driss Khalid,Attacking Midfield,https://www.transfermarkt.com/driss-khalid/profil/spieler/540727
6fea4e00,290595,Driss Trichard,Left-Back,https://www.transfermarkt.com/driss-trichard/profil/spieler/290595
543d9d2b,614742,Drissa Camara,Central Midfield,https://www.transfermarkt.com/drissa-camara/profil/spieler/614742
0e0d6c53,616169,Duccio Degl'Innocenti,Defensive Midfield,https://www.transfermarkt.com/duccio-degli-innocenti/profil/spieler/616169
94f8d10c,238266,Duje Äaleta-Car,Centre-Back,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266
8b0b02c9,46415,Duje Äop,Centre-Forward,https://www.transfermarkt.com/duje-cop/profil/spieler/46415
833a91a1,416168,Durel Avounou,Central Midfield,https://www.transfermarkt.com/durel-avounou/profil/spieler/416168
d3de9af0,73794,DuvÃ¡n Zapata,Centre-Forward,https://www.transfermarkt.com/duvan-zapata/profil/spieler/73794
3b57f7f8,19694,DuÅ¡an Basta,Right-Back,https://www.transfermarkt.com/dusan-basta/profil/spieler/19694
2475dcc6,36139,DuÅ¡an TadiÄ,Left Winger,https://www.transfermarkt.com/dusan-tadic/profil/spieler/36139
79443529,357498,DuÅ¡an VlahoviÄ,Centre-Forward,https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498
e58a03c6,196522,Dwight Gayle,Centre-Forward,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522
fc15fb84,584769,Dwight McNeil,Left Winger,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769
e4738e91,157036,Dyego Sousa,Centre-Forward,https://www.transfermarkt.com/dyego-sousa/profil/spieler/157036
7844c810,290928,Dylan Bahamboula,Attacking Midfield,https://www.transfermarkt.com/dylan-bahamboula/profil/spieler/290928
edd81e2a,450417,Dylan Bronn,Centre-Back,https://www.transfermarkt.com/dylan-bronn/profil/spieler/450417
dbde4959,508941,Dylan Chambost,Attacking Midfield,https://www.transfermarkt.com/dylan-chambost/profil/spieler/508941
47c2e669,556567,Dylan Lempereur,Left-Back,https://www.transfermarkt.com/dylan-lempereur/profil/spieler/556567
4fac8f81,404418,DÃ¡vid Hancko,Centre-Back,https://www.transfermarkt.com/david-hancko/profil/spieler/404418
2cb9486d,482836,DÃ¡vid Strelec,Centre-Forward,https://www.transfermarkt.com/david-strelec/profil/spieler/482836
5065d67d,184575,DÃ©nys Bain,Centre-Back,https://www.transfermarkt.com/denys-bain/profil/spieler/184575
9e7483ff,914562,DÃ©sirÃ© DouÃ©,Attacking Midfield,https://www.transfermarkt.com/desire-doue/profil/spieler/914562
bad38a94,67090,DÃ­dac VilÃ ,Left-Back,https://www.transfermarkt.com/didac-vila/profil/spieler/67090
d28b4a9d,213841,DÃ³ria,Centre-Back,https://www.transfermarkt.com/doria/profil/spieler/213841
