fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
c2f9d19f,Neil Taylor,2020,DF,30.0,1091.0,Aston Villa,Premier League,True,39.7,20.9,54.5,52.4,36.8,39.4,공격형 풀백,0.33,39.1,39.2,,,0
c311243f,Dennis Aogo,2018,MF,30.0,1954.0,Stuttgart,Bundesliga,True,36.9,30.9,46.0,61.0,54.6,44.4,딥 플레이메이커,0.76,46.1,45.2,,,0
c311243f,Dennis Aogo,2019,MF,31.0,1025.0,Stuttgart,Bundesliga,True,26.9,22.7,28.3,61.5,50.0,36.3,딥 플레이메이커,1.27,38.1,37.2,,,0
c3725db2,Yoann Salmier,2018,DF,24.0,1107.0,Strasbourg,Ligue 1,True,43.5,24.7,28.9,59.0,29.4,36.5,빌드업 수비수,0.63,37.3,36.9,,,0
c3a8bcd8,Lasse Schöne,2020,MF,33.0,2427.0,Genoa,Serie A,True,53.8,55.6,54.2,49.9,52.0,53.4,딥 플레이메이커,0.21,53.2,53.3,,,0
c3e4ecbb,Jordan Lefort,2019,DF,24.0,1802.0,Amiens,Ligue 1,True,34.9,46.2,37.1,33.0,65.0,49.0,스토퍼,0.94,53.7,51.4,,,0
c3ee18ef,Lucas Hernández,2018,DF,21.0,2116.0,Atlético Madrid,La Liga,True,45.2,40.9,46.2,42.5,60.5,49.9,빌드업 수비수,0.01,46.0,48.0,2021.0,69.4,1
c3ee18ef,Lucas Hernández,2019,DF,22.0,1117.0,Atlético Madrid,La Liga,True,59.7,48.5,38.8,50.0,52.0,49.9,공격형 풀백,0.0,48.1,49.0,2022.0,66.1,1
c3ee18ef,Lucas Hernández,2020,DF,23.0,920.0,Bayern Munich,Bundesliga,True,61.1,82.7,54.8,55.3,66.1,65.3,빌드업 수비수,0.73,67.3,66.3,2022.0,66.1,1
c3fd9887,Vedad Ibišević,2018,FW,32.0,1452.0,Hertha BSC,Bundesliga,True,63.5,32.0,32.1,34.3,44.9,46.1,연결형 공격수,0.77,40.9,43.5,2020.0,43.0,1
c3fd9887,Vedad Ibišević,2019,FW,33.0,1807.0,Hertha BSC,Bundesliga,True,62.6,31.3,32.9,42.1,44.2,46.5,박스 포처,0.17,51.1,48.8,,,0
