fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability
16657b95,Bryan Cristante,2021,DF,25.0,2155.0,Roma,Serie A,True,78.1,78.9,72.5,34.7,32.4,48.6,빌드업 수비수,1.01,55.7,52.2
16657b95,Bryan Cristante,2022,MF,26.0,2678.0,Roma,Serie A,True,37.7,59.9,26.6,59.9,83.8,53.5,수비형 파괴자,0.93,69.1,61.3
16657b95,Bryan Cristante,2023,MF,27.0,990.0,Roma,Serie A,True,39.7,52.4,22.0,33.7,83.6,45.4,수비형 파괴자,1.24,61.2,53.3
166a981d,Racine Coly,2018,DF,21.0,617.0,Nice,Ligue 1,True,29.4,79.3,29.4,46.0,33.3,45.1,공격형 풀백,0.13,47.6,46.4
166a981d,Racine Coly,2019,DF,22.0,503.0,Nice,Ligue 1,False,54.5,64.8,67.4,24.6,34.9,42.5,공격형 풀백,0.88,52.4,47.4
166a981d,Racine Coly,2020,DF,23.0,649.0,Nice,Ligue 1,True,77.7,74.9,58.8,43.9,48.0,54.9,빌드업 수비수,0.03,58.8,56.8
166a981d,Racine Coly,2021,MF,24.0,17.0,Nice,Ligue 1,False,22.4,46.2,2.0,41.6,42.5,32.3,수비형 파괴자,1.06,39.8,36.0
16714a62,Khaled Adénon,2018,DF,32.0,2921.0,Amiens,Ligue 1,True,36.5,9.5,12.6,52.8,40.5,34.4,스토퍼,1.02,39.8,37.1
16714a62,Khaled Adénon,2019,DF,33.0,1994.0,Amiens,Ligue 1,True,39.7,36.4,20.1,65.1,51.0,47.9,스토퍼,0.42,52.1,50.0
167c1bb0,Javi García,2018,MF,30.0,2410.0,Betis,La Liga,True,25.0,28.1,5.0,71.5,60.2,36.5,수비형 파괴자,0.52,53.7,45.1
167c1bb0,Javi García,2019,DF,31.0,524.0,Betis,La Liga,False,31.4,69.9,8.6,66.8,48.1,52.3,스토퍼,0.08,53.6,53.0
167c1bb0,Javi García,2020,MF,32.0,377.0,Betis,La Liga,False,25.8,17.2,1.9,57.0,50.3,28.4,수비형 파괴자,0.8,43.4,35.9
167d5018,Félix Eboa Eboa,2018,DF,20.0,1524.0,Guingamp,Ligue 1,True,65.4,30.0,45.6,43.4,62.7,49.8,스토퍼,0.05,54.4,52.1
167d5018,Félix Eboa Eboa,2019,DF,21.0,2426.0,Guingamp,Ligue 1,True,63.3,27.9,27.0,36.2,67.8,47.6,스토퍼,1.51,54.9,51.2
